run,metadata_field,value,precision,recall,f1
SYS-B_DeepSeek-R1-Distill-Qwen-32B,title_group,lead,0.8225,0.8165,0.8195
SYS-B_DeepSeek-R1-Distill-Qwen-32B,title_group,manager,0.8859,0.8534,0.8693
SYS-B_DeepSeek-R1-Distill-Qwen-32B,title_group,mid,0.8413,0.8824,0.8614
SYS-B_DeepSeek-R1-Distill-Qwen-32B,title_group,senior,0.8307,0.8327,0.8317
SYS-B_Llama-3.1-8B-Instruct,cv_language,en,0.7328,0.7143,0.7234
SYS-B_Llama-3.1-8B-Instruct,cv_language,mixed,0.7161,0.5904,0.6472
SYS-B_Llama-3.1-8B-Instruct,cv_language,tr,0.8008,0.7354,0.7667
SYS-B_Llama-3.1-8B-Instruct,difficulty,easy,0.8148,0.7432,0.7774
SYS-B_Llama-3.1-8B-Instruct,difficulty,hard,0.7625,0.7133,0.737
SYS-B_Llama-3.1-8B-Instruct,difficulty,medium,0.7593,0.6897,0.7228
SYS-B_Llama-3.1-8B-Instruct,file_format,docx,0.7685,0.7207,0.7438
SYS-B_Llama-3.1-8B-Instruct,file_format,pdf,0.7825,0.6911,0.734
SYS-B_Llama-3.1-8B-Instruct,role_family,data_ml_ai_analytics,0.7101,0.6186,0.6612
SYS-B_Llama-3.1-8B-Instruct,role_family,design_content_media,0.6818,0.5769,0.625
SYS-B_Llama-3.1-8B-Instruct,role_family,devops_cyber_qa,0.7895,0.8108,0.8
SYS-B_Llama-3.1-8B-Instruct,role_family,education_academia,0.6111,0.55,0.5789
SYS-B_Llama-3.1-8B-Instruct,role_family,engineering_manufacturing_quality,0.9091,0.8824,0.8955
SYS-B_Llama-3.1-8B-Instruct,role_family,finance_accounting_audit,0.7653,0.5474,0.6383
SYS-B_Llama-3.1-8B-Instruct,role_family,health_lab_clinical_ops,0.8333,0.7831,0.8075
SYS-B_Llama-3.1-8B-Instruct,role_family,hr_talent,0.7917,0.7917,0.7917
SYS-B_Llama-3.1-8B-Instruct,role_family,legal_compliance,0.9167,0.9167,0.9167
SYS-B_Llama-3.1-8B-Instruct,role_family,logistics_supply_ops,0.8105,0.8556,0.8324
SYS-B_Llama-3.1-8B-Instruct,role_family,product_project_ba,0.7895,0.6466,0.7109
SYS-B_Llama-3.1-8B-Instruct,role_family,sales_marketing_crm,0.9223,0.8559,0.8879
SYS-B_Llama-3.1-8B-Instruct,role_family,software_backend_fullstack,0.678,0.6723,0.6751
SYS-B_Llama-3.1-8B-Instruct,seniority,intern_new_grad,0.6462,0.6774,0.6614
SYS-B_Llama-3.1-8B-Instruct,seniority,junior,0.8174,0.7585,0.7868
SYS-B_Llama-3.1-8B-Instruct,seniority,lead,0.8201,0.8143,0.8172
SYS-B_Llama-3.1-8B-Instruct,seniority,manager,0.8029,0.7746,0.7885
SYS-B_Llama-3.1-8B-Instruct,seniority,mid,0.8225,0.7088,0.7615
SYS-B_Llama-3.1-8B-Instruct,seniority,senior,0.6686,0.5519,0.6047
SYS-B_Llama-3.1-8B-Instruct,template_type,academic_long,0.6528,0.6812,0.6667
SYS-B_Llama-3.1-8B-Instruct,template_type,chronological,0.8103,0.7669,0.788
SYS-B_Llama-3.1-8B-Instruct,template_type,freelance_case_study,0.0,0.0,0.0
SYS-B_Llama-3.1-8B-Instruct,template_type,linkedin_plain,0.6852,0.6981,0.6916
SYS-B_Llama-3.1-8B-Instruct,template_type,minimal_one_page,0.8676,0.7815,0.8223
SYS-B_Llama-3.1-8B-Instruct,template_type,modern_two_column,0.6148,0.6522,0.6329
SYS-B_Llama-3.1-8B-Instruct,template_type,project_portfolio_focused,0.8473,0.7708,0.8073
SYS-B_Llama-3.1-8B-Instruct,template_type,table_heavy_dense,0.7833,0.6395,0.7041
SYS-B_Llama-3.1-8B-Instruct,title_group,intern_new_grad,0.6462,0.6774,0.6614
SYS-B_Llama-3.1-8B-Instruct,title_group,junior,0.8174,0.7585,0.7868
SYS-B_Llama-3.1-8B-Instruct,title_group,lead,0.8201,0.8143,0.8172
SYS-B_Llama-3.1-8B-Instruct,title_group,manager,0.8029,0.7746,0.7885
SYS-B_Llama-3.1-8B-Instruct,title_group,mid,0.8225,0.7088,0.7615
SYS-B_Llama-3.1-8B-Instruct,title_group,senior,0.6686,0.5519,0.6047
SYS-B_Qwen2.5-72B-Instruct,cv_language,en,0.8095,0.8194,0.8144
SYS-B_Qwen2.5-72B-Instruct,cv_language,mixed,0.8932,0.9522,0.9217
SYS-B_Qwen2.5-72B-Instruct,cv_language,tr,0.9066,0.9367,0.9214
SYS-B_Qwen2.5-72B-Instruct,difficulty,easy,0.8968,0.9236,0.91
SYS-B_Qwen2.5-72B-Instruct,difficulty,hard,0.8364,0.8558,0.846
SYS-B_Qwen2.5-72B-Instruct,difficulty,medium,0.8954,0.9318,0.9132
SYS-B_Qwen2.5-72B-Instruct,file_format,docx,0.8887,0.9304,0.909
SYS-B_Qwen2.5-72B-Instruct,file_format,pdf,0.8663,0.8732,0.8697
SYS-B_Qwen2.5-72B-Instruct,role_family,data_ml_ai_analytics,0.9248,0.9568,0.9405
SYS-B_Qwen2.5-72B-Instruct,role_family,design_content_media,0.8889,0.898,0.8934
SYS-B_Qwen2.5-72B-Instruct,role_family,devops_cyber_qa,0.9248,0.9578,0.941
SYS-B_Qwen2.5-72B-Instruct,role_family,education_academia,0.8622,0.8802,0.8711
SYS-B_Qwen2.5-72B-Instruct,role_family,engineering_manufacturing_quality,0.8561,0.8881,0.8718
SYS-B_Qwen2.5-72B-Instruct,role_family,finance_accounting_audit,0.9076,0.9262,0.9168
SYS-B_Qwen2.5-72B-Instruct,role_family,health_lab_clinical_ops,0.8939,0.8889,0.8914
SYS-B_Qwen2.5-72B-Instruct,role_family,hr_talent,0.898,0.88,0.8889
SYS-B_Qwen2.5-72B-Instruct,role_family,legal_compliance,0.922,0.9028,0.9123
SYS-B_Qwen2.5-72B-Instruct,role_family,logistics_supply_ops,0.8735,0.8841,0.8788
SYS-B_Qwen2.5-72B-Instruct,role_family,product_project_ba,0.8718,0.9189,0.8947
SYS-B_Qwen2.5-72B-Instruct,role_family,sales_marketing_crm,0.7828,0.901,0.8378
SYS-B_Qwen2.5-72B-Instruct,role_family,software_backend_fullstack,0.8296,0.8897,0.8586
SYS-B_Qwen2.5-72B-Instruct,seniority,intern_new_grad,0.7701,0.8375,0.8024
SYS-B_Qwen2.5-72B-Instruct,seniority,junior,0.8772,0.885,0.8811
SYS-B_Qwen2.5-72B-Instruct,seniority,lead,0.8884,0.9215,0.9047
SYS-B_Qwen2.5-72B-Instruct,seniority,manager,0.9408,0.9662,0.9533
SYS-B_Qwen2.5-72B-Instruct,seniority,mid,0.894,0.9142,0.904
SYS-B_Qwen2.5-72B-Instruct,seniority,senior,0.8799,0.9262,0.9024
SYS-B_Qwen2.5-72B-Instruct,template_type,academic_long,0.9107,0.941,0.9256
SYS-B_Qwen2.5-72B-Instruct,template_type,chronological,0.8904,0.9337,0.9116
SYS-B_Qwen2.5-72B-Instruct,template_type,freelance_case_study,0.9281,0.9226,0.9254
SYS-B_Qwen2.5-72B-Instruct,template_type,linkedin_plain,0.8875,0.9125,0.8998
SYS-B_Qwen2.5-72B-Instruct,template_type,minimal_one_page,0.8629,0.8735,0.8682
SYS-B_Qwen2.5-72B-Instruct,template_type,modern_two_column,0.8396,0.8747,0.8568
SYS-B_Qwen2.5-72B-Instruct,template_type,project_portfolio_focused,0.933,0.9613,0.9469
SYS-B_Qwen2.5-72B-Instruct,template_type,table_heavy_dense,0.8182,0.8448,0.8313
SYS-B_Qwen2.5-72B-Instruct,title_group,intern_new_grad,0.7701,0.8375,0.8024
SYS-B_Qwen2.5-72B-Instruct,title_group,junior,0.8772,0.885,0.8811
SYS-B_Qwen2.5-72B-Instruct,title_group,lead,0.8884,0.9215,0.9047
SYS-B_Qwen2.5-72B-Instruct,title_group,manager,0.9408,0.9662,0.9533
SYS-B_Qwen2.5-72B-Instruct,title_group,mid,0.894,0.9142,0.904
SYS-B_Qwen2.5-72B-Instruct,title_group,senior,0.8799,0.9262,0.9024
SYS-B_Qwen2.5-7B-Instruct,cv_language,en,0.8345,0.8381,0.8363
SYS-B_Qwen2.5-7B-Instruct,cv_language,mixed,0.8409,0.8772,0.8586
SYS-B_Qwen2.5-7B-Instruct,cv_language,tr,0.8506,0.8756,0.8629
SYS-B_Qwen2.5-7B-Instruct,difficulty,easy,0.8611,0.8648,0.863
SYS-B_Qwen2.5-7B-Instruct,difficulty,hard,0.7568,0.8101,0.7826
SYS-B_Qwen2.5-7B-Instruct,difficulty,medium,0.8892,0.9029,0.896
SYS-B_Qwen2.5-7B-Instruct,file_format,docx,0.8444,0.8747,0.8593
SYS-B_Qwen2.5-7B-Instruct,file_format,pdf,0.8501,0.8518,0.8509
SYS-B_Qwen2.5-7B-Instruct,role_family,data_ml_ai_analytics,0.7877,0.8329,0.8096
SYS-B_Qwen2.5-7B-Instruct,role_family,design_content_media,0.7639,0.8418,0.801
SYS-B_Qwen2.5-7B-Instruct,role_family,devops_cyber_qa,0.8875,0.8961,0.8918
SYS-B_Qwen2.5-7B-Instruct,role_family,education_academia,0.907,0.8125,0.8571
SYS-B_Qwen2.5-7B-Instruct,role_family,engineering_manufacturing_quality,0.8841,0.9104,0.8971
SYS-B_Qwen2.5-7B-Instruct,role_family,finance_accounting_audit,0.7931,0.8484,0.8198
SYS-B_Qwen2.5-7B-Instruct,role_family,health_lab_clinical_ops,0.9013,0.8855,0.8933
SYS-B_Qwen2.5-7B-Instruct,role_family,hr_talent,0.8289,0.8857,0.8564
SYS-B_Qwen2.5-7B-Instruct,role_family,legal_compliance,0.8043,0.7708,0.7872
SYS-B_Qwen2.5-7B-Instruct,role_family,logistics_supply_ops,0.8743,0.9329,0.9027
SYS-B_Qwen2.5-7B-Instruct,role_family,product_project_ba,0.8421,0.8819,0.8615
SYS-B_Qwen2.5-7B-Instruct,role_family,sales_marketing_crm,0.8448,0.9245,0.8829
SYS-B_Qwen2.5-7B-Instruct,role_family,software_backend_fullstack,0.8984,0.8562,0.8768
SYS-B_Qwen2.5-7B-Instruct,seniority,intern_new_grad,0.8878,0.91,0.8988
SYS-B_Qwen2.5-7B-Instruct,seniority,junior,0.8249,0.8197,0.8223
SYS-B_Qwen2.5-7B-Instruct,seniority,lead,0.8598,0.8381,0.8488
SYS-B_Qwen2.5-7B-Instruct,seniority,manager,0.886,0.9266,0.9058
SYS-B_Qwen2.5-7B-Instruct,seniority,mid,0.8733,0.8751,0.8742
SYS-B_Qwen2.5-7B-Instruct,seniority,senior,0.8011,0.8676,0.833
SYS-B_Qwen2.5-7B-Instruct,template_type,academic_long,0.8676,0.9188,0.8925
SYS-B_Qwen2.5-7B-Instruct,template_type,chronological,0.8957,0.9079,0.9017
SYS-B_Qwen2.5-7B-Instruct,template_type,freelance_case_study,0.8537,0.8333,0.8434
SYS-B_Qwen2.5-7B-Instruct,template_type,linkedin_plain,0.9034,0.9062,0.9048
SYS-B_Qwen2.5-7B-Instruct,template_type,minimal_one_page,0.9,0.8816,0.8907
SYS-B_Qwen2.5-7B-Instruct,template_type,modern_two_column,0.7694,0.8257,0.7966
SYS-B_Qwen2.5-7B-Instruct,template_type,project_portfolio_focused,0.8978,0.8392,0.8675
SYS-B_Qwen2.5-7B-Instruct,template_type,table_heavy_dense,0.701,0.8,0.7473
SYS-B_Qwen2.5-7B-Instruct,title_group,intern_new_grad,0.8878,0.91,0.8988
SYS-B_Qwen2.5-7B-Instruct,title_group,junior,0.8249,0.8197,0.8223
SYS-B_Qwen2.5-7B-Instruct,title_group,lead,0.8598,0.8381,0.8488
SYS-B_Qwen2.5-7B-Instruct,title_group,manager,0.886,0.9266,0.9058
SYS-B_Qwen2.5-7B-Instruct,title_group,mid,0.8733,0.8751,0.8742
SYS-B_Qwen2.5-7B-Instruct,title_group,senior,0.8011,0.8676,0.833
SYS-B_gpt-oss-20b,cv_language,en,0.7724,0.8319,0.801
SYS-B_gpt-oss-20b,cv_language,mixed,0.8,0.9085,0.8508
SYS-B_gpt-oss-20b,cv_language,tr,0.8507,0.9071,0.878
SYS-B_gpt-oss-20b,difficulty,easy,0.8213,0.9215,0.8685
SYS-B_gpt-oss-20b,difficulty,hard,0.7974,0.8489,0.8224
SYS-B_gpt-oss-20b,difficulty,medium,0.8425,0.886,0.8637
SYS-B_gpt-oss-20b,file_format,docx,0.8236,0.8874,0.8543
SYS-B_gpt-oss-20b,file_format,pdf,0.8211,0.8873,0.8529
SYS-B_gpt-oss-20b,role_family,data_ml_ai_analytics,0.8821,0.9395,0.9099
SYS-B_gpt-oss-20b,role_family,design_content_media,0.977,0.9341,0.9551
SYS-B_gpt-oss-20b,role_family,devops_cyber_qa,0.9206,0.9016,0.911
SYS-B_gpt-oss-20b,role_family,education_academia,0.868,0.8906,0.8792
SYS-B_gpt-oss-20b,role_family,engineering_manufacturing_quality,0.845,0.8134,0.8289
SYS-B_gpt-oss-20b,role_family,finance_accounting_audit,0.7534,0.918,0.8276
SYS-B_gpt-oss-20b,role_family,health_lab_clinical_ops,0.75,0.8521,0.7978
SYS-B_gpt-oss-20b,role_family,hr_talent,0.7647,0.8497,0.805
SYS-B_gpt-oss-20b,role_family,legal_compliance,0.7591,0.8525,0.8031
SYS-B_gpt-oss-20b,role_family,logistics_supply_ops,0.8272,0.8171,0.8221
SYS-B_gpt-oss-20b,role_family,product_project_ba,0.8718,0.9067,0.8889
SYS-B_gpt-oss-20b,role_family,sales_marketing_crm,0.6881,0.9026,0.7809
SYS-B_gpt-oss-20b,role_family,software_backend_fullstack,0.8553,0.9178,0.8855
SYS-B_gpt-oss-20b,seniority,intern_new_grad,0.7407,0.8,0.7692
SYS-B_gpt-oss-20b,seniority,junior,0.8143,0.8482,0.8309
SYS-B_gpt-oss-20b,seniority,lead,0.7437,0.8706,0.8022
SYS-B_gpt-oss-20b,seniority,manager,0.9266,0.9162,0.9213
SYS-B_gpt-oss-20b,seniority,mid,0.8532,0.9007,0.8763
SYS-B_gpt-oss-20b,seniority,senior,0.8114,0.9232,0.8637
SYS-B_gpt-oss-20b,template_type,academic_long,0.8418,0.8922,0.8663
SYS-B_gpt-oss-20b,template_type,chronological,0.8202,0.9031,0.8597
SYS-B_gpt-oss-20b,template_type,freelance_case_study,0.8462,0.9429,0.8919
SYS-B_gpt-oss-20b,template_type,linkedin_plain,0.8549,0.879,0.8668
SYS-B_gpt-oss-20b,template_type,minimal_one_page,0.7918,0.8694,0.8288
SYS-B_gpt-oss-20b,template_type,modern_two_column,0.782,0.8447,0.8121
SYS-B_gpt-oss-20b,template_type,project_portfolio_focused,0.8987,0.9404,0.9191
SYS-B_gpt-oss-20b,template_type,table_heavy_dense,0.8283,0.8941,0.86
SYS-B_gpt-oss-20b,title_group,intern_new_grad,0.7407,0.8,0.7692
SYS-B_gpt-oss-20b,title_group,junior,0.8143,0.8482,0.8309
SYS-B_gpt-oss-20b,title_group,lead,0.7437,0.8706,0.8022
SYS-B_gpt-oss-20b,title_group,manager,0.9266,0.9162,0.9213
SYS-B_gpt-oss-20b,title_group,mid,0.8532,0.9007,0.8763
SYS-B_gpt-oss-20b,title_group,senior,0.8114,0.9232,0.8637
