run,metadata_field,value,precision,recall,f1
BL-1_Qwen2.5-7B-Instruct,template_type,freelance_case_study,0.9615,0.744,0.8389
BL-1_Qwen2.5-7B-Instruct,template_type,linkedin_plain,0.9517,0.8625,0.9049
BL-1_Qwen2.5-7B-Instruct,template_type,minimal_one_page,0.9106,0.799,0.8512
BL-1_Qwen2.5-7B-Instruct,template_type,modern_two_column,0.9538,0.843,0.895
BL-1_Qwen2.5-7B-Instruct,template_type,project_portfolio_focused,0.953,0.7638,0.848
BL-1_Qwen2.5-7B-Instruct,template_type,table_heavy_dense,0.9433,0.8324,0.8844
BL-1_Qwen2.5-7B-Instruct,title_group,intern_new_grad,0.9441,0.845,0.8918
BL-1_Qwen2.5-7B-Instruct,title_group,junior,0.9185,0.7799,0.8435
BL-1_Qwen2.5-7B-Instruct,title_group,lead,0.9573,0.8058,0.875
BL-1_Qwen2.5-7B-Instruct,title_group,manager,0.9611,0.7936,0.8693
BL-1_Qwen2.5-7B-Instruct,title_group,mid,0.9691,0.8511,0.9062
BL-1_Qwen2.5-7B-Instruct,title_group,senior,0.9454,0.8104,0.8727
BL-2_Qwen2.5-7B-Instruct,cv_language,en,0.9606,0.8665,0.9111
BL-2_Qwen2.5-7B-Instruct,cv_language,mixed,0.9781,0.8302,0.8981
BL-2_Qwen2.5-7B-Instruct,cv_language,tr,0.961,0.8186,0.8841
BL-2_Qwen2.5-7B-Instruct,difficulty,easy,0.97,0.8315,0.8954
BL-2_Qwen2.5-7B-Instruct,difficulty,hard,0.956,0.7782,0.858
BL-2_Qwen2.5-7B-Instruct,difficulty,medium,0.9629,0.8638,0.9107
BL-2_Qwen2.5-7B-Instruct,file_format,docx,0.9662,0.8332,0.8948
BL-2_Qwen2.5-7B-Instruct,file_format,pdf,0.9573,0.8279,0.8879
BL-2_Qwen2.5-7B-Instruct,role_family,data_ml_ai_analytics,0.9716,0.8042,0.88
BL-2_Qwen2.5-7B-Instruct,role_family,design_content_media,0.8848,0.7449,0.8089
BL-2_Qwen2.5-7B-Instruct,role_family,devops_cyber_qa,0.9636,0.7727,0.8577
BL-2_Qwen2.5-7B-Instruct,role_family,education_academia,0.9595,0.8646,0.9096
BL-2_Qwen2.5-7B-Instruct,role_family,engineering_manufacturing_quality,1.0,0.9403,0.9692
BL-2_Qwen2.5-7B-Instruct,role_family,finance_accounting_audit,0.9738,0.8857,0.9277
BL-2_Qwen2.5-7B-Instruct,role_family,health_lab_clinical_ops,0.9898,0.859,0.9198
BL-2_Qwen2.5-7B-Instruct,role_family,hr_talent,0.9451,0.8857,0.9145
BL-2_Qwen2.5-7B-Instruct,role_family,legal_compliance,1.0,0.7986,0.888
BL-2_Qwen2.5-7B-Instruct,role_family,logistics_supply_ops,0.9367,0.9024,0.9193
BL-2_Qwen2.5-7B-Instruct,role_family,product_project_ba,0.9701,0.7677,0.8571
BL-2_Qwen2.5-7B-Instruct,role_family,sales_marketing_crm,0.985,0.9292,0.9563
BL-2_Qwen2.5-7B-Instruct,role_family,software_backend_fullstack,0.9472,0.7844,0.8581
BL-2_Qwen2.5-7B-Instruct,seniority,intern_new_grad,0.9611,0.865,0.9105
BL-2_Qwen2.5-7B-Instruct,seniority,junior,0.9693,0.7945,0.8733
BL-2_Qwen2.5-7B-Instruct,seniority,lead,0.9173,0.8381,0.8759
BL-2_Qwen2.5-7B-Instruct,seniority,manager,0.9944,0.8211,0.8995
BL-2_Qwen2.5-7B-Instruct,seniority,mid,0.976,0.846,0.9064
BL-2_Qwen2.5-7B-Instruct,seniority,senior,0.9538,0.8281,0.8865
BL-2_Qwen2.5-7B-Instruct,template_type,academic_long,0.9083,0.7306,0.8098
BL-2_Qwen2.5-7B-Instruct,template_type,chronological,0.9802,0.8699,0.9218
BL-2_Qwen2.5-7B-Instruct,template_type,freelance_case_study,1.0,0.7576,0.8621
BL-2_Qwen2.5-7B-Instruct,template_type,linkedin_plain,0.9614,0.8562,0.9058
BL-2_Qwen2.5-7B-Instruct,template_type,minimal_one_page,0.9726,0.8694,0.9181
BL-2_Qwen2.5-7B-Instruct,template_type,modern_two_column,0.9596,0.8475,0.9001
BL-2_Qwen2.5-7B-Instruct,template_type,project_portfolio_focused,0.9534,0.7714,0.8528
BL-2_Qwen2.5-7B-Instruct,template_type,table_heavy_dense,0.9667,0.8529,0.9062
BL-2_Qwen2.5-7B-Instruct,title_group,intern_new_grad,0.9611,0.865,0.9105
BL-2_Qwen2.5-7B-Instruct,title_group,junior,0.9693,0.7945,0.8733
BL-2_Qwen2.5-7B-Instruct,title_group,lead,0.9173,0.8381,0.8759
BL-2_Qwen2.5-7B-Instruct,title_group,manager,0.9944,0.8211,0.8995
BL-2_Qwen2.5-7B-Instruct,title_group,mid,0.976,0.846,0.9064
BL-2_Qwen2.5-7B-Instruct,title_group,senior,0.9538,0.8281,0.8865
SYS-A_Qwen2.5-7B-Instruct,cv_language,en,0.7743,0.7275,0.7502
SYS-A_Qwen2.5-7B-Instruct,cv_language,mixed,0.7595,0.7759,0.7676
SYS-A_Qwen2.5-7B-Instruct,cv_language,tr,0.7838,0.779,0.7814
SYS-A_Qwen2.5-7B-Instruct,difficulty,easy,0.738,0.7592,0.7484
SYS-A_Qwen2.5-7B-Instruct,difficulty,hard,0.7997,0.7636,0.7812
SYS-A_Qwen2.5-7B-Instruct,difficulty,medium,0.7942,0.7758,0.7849
SYS-A_Qwen2.5-7B-Instruct,file_format,docx,0.7741,0.77,0.772
SYS-A_Qwen2.5-7B-Instruct,file_format,pdf,0.7839,0.7599,0.7717
SYS-A_Qwen2.5-7B-Instruct,role_family,data_ml_ai_analytics,0.7147,0.7346,0.7245
SYS-A_Qwen2.5-7B-Instruct,role_family,design_content_media,0.7354,0.7092,0.7221
SYS-A_Qwen2.5-7B-Instruct,role_family,devops_cyber_qa,0.7656,0.7286,0.7467
SYS-A_Qwen2.5-7B-Instruct,role_family,education_academia,0.7705,0.7344,0.752
SYS-A_Qwen2.5-7B-Instruct,role_family,engineering_manufacturing_quality,0.9421,0.8507,0.8941
SYS-A_Qwen2.5-7B-Instruct,role_family,finance_accounting_audit,0.8016,0.8115,0.8065
SYS-A_Qwen2.5-7B-Instruct,role_family,health_lab_clinical_ops,0.8273,0.8018,0.8143
SYS-A_Qwen2.5-7B-Instruct,role_family,hr_talent,0.8554,0.8114,0.8328
SYS-A_Qwen2.5-7B-Instruct,role_family,legal_compliance,0.7571,0.7361,0.7465
SYS-A_Qwen2.5-7B-Instruct,role_family,logistics_supply_ops,0.8355,0.7744,0.8038
SYS-A_Qwen2.5-7B-Instruct,role_family,product_project_ba,0.7228,0.7598,0.7409
SYS-A_Qwen2.5-7B-Instruct,role_family,sales_marketing_crm,0.8535,0.7972,0.8244
SYS-A_Qwen2.5-7B-Instruct,role_family,software_backend_fullstack,0.7014,0.7562,0.7278
SYS-A_Qwen2.5-7B-Instruct,seniority,intern_new_grad,0.7363,0.67,0.7016
SYS-A_Qwen2.5-7B-Instruct,seniority,junior,0.7679,0.7611,0.7644
SYS-A_Qwen2.5-7B-Instruct,seniority,lead,0.8168,0.7698,0.7926
SYS-A_Qwen2.5-7B-Instruct,seniority,manager,0.8111,0.8073,0.8092
SYS-A_Qwen2.5-7B-Instruct,seniority,mid,0.8013,0.7831,0.7921
SYS-A_Qwen2.5-7B-Instruct,seniority,senior,0.7427,0.7605,0.7515
SYS-A_Qwen2.5-7B-Instruct,template_type,academic_long,0.7007,0.7085,0.7046
SYS-A_Qwen2.5-7B-Instruct,template_type,chronological,0.7956,0.7913,0.7935
SYS-A_Qwen2.5-7B-Instruct,template_type,freelance_case_study,0.7349,0.7262,0.7305
SYS-A_Qwen2.5-7B-Instruct,template_type,linkedin_plain,0.8107,0.8031,0.8069
SYS-A_Qwen2.5-7B-Instruct,template_type,minimal_one_page,0.7857,0.7476,0.7662
SYS-A_Qwen2.5-7B-Instruct,template_type,modern_two_column,0.8361,0.7881,0.8114
SYS-A_Qwen2.5-7B-Instruct,template_type,project_portfolio_focused,0.7277,0.7588,0.7429
SYS-A_Qwen2.5-7B-Instruct,template_type,table_heavy_dense,0.7624,0.7333,0.7476
SYS-A_Qwen2.5-7B-Instruct,title_group,intern_new_grad,0.7363,0.67,0.7016
SYS-A_Qwen2.5-7B-Instruct,title_group,junior,0.7679,0.7611,0.7644
SYS-A_Qwen2.5-7B-Instruct,title_group,lead,0.8168,0.7698,0.7926
SYS-A_Qwen2.5-7B-Instruct,title_group,manager,0.8111,0.8073,0.8092
SYS-A_Qwen2.5-7B-Instruct,title_group,mid,0.8013,0.7831,0.7921
SYS-A_Qwen2.5-7B-Instruct,title_group,senior,0.7427,0.7605,0.7515
SYS-B_Qwen2.5-7B-Instruct,cv_language,en,0.8487,0.8523,0.8505
SYS-B_Qwen2.5-7B-Instruct,cv_language,mixed,0.8423,0.875,0.8584
SYS-B_Qwen2.5-7B-Instruct,cv_language,tr,0.8375,0.8722,0.8545
SYS-B_Qwen2.5-7B-Instruct,difficulty,easy,0.8564,0.8766,0.8664
SYS-B_Qwen2.5-7B-Instruct,difficulty,hard,0.7513,0.7862,0.7683
SYS-B_Qwen2.5-7B-Instruct,difficulty,medium,0.8827,0.9106,0.8965
SYS-B_Qwen2.5-7B-Instruct,file_format,docx,0.8387,0.8777,0.8578
SYS-B_Qwen2.5-7B-Instruct,file_format,pdf,0.8438,0.8488,0.8463
SYS-B_Qwen2.5-7B-Instruct,role_family,data_ml_ai_analytics,0.7901,0.8355,0.8122
SYS-B_Qwen2.5-7B-Instruct,role_family,design_content_media,0.7847,0.8367,0.8099
SYS-B_Qwen2.5-7B-Instruct,role_family,devops_cyber_qa,0.8796,0.9253,0.9019
SYS-B_Qwen2.5-7B-Instruct,role_family,education_academia,0.9071,0.8646,0.8853
SYS-B_Qwen2.5-7B-Instruct,role_family,engineering_manufacturing_quality,0.8425,0.9179,0.8786
SYS-B_Qwen2.5-7B-Instruct,role_family,finance_accounting_audit,0.7654,0.8156,0.7897
SYS-B_Qwen2.5-7B-Instruct,role_family,health_lab_clinical_ops,0.9083,0.9163,0.9123
SYS-B_Qwen2.5-7B-Instruct,role_family,hr_talent,0.8444,0.8686,0.8563
SYS-B_Qwen2.5-7B-Instruct,role_family,legal_compliance,0.806,0.75,0.777
SYS-B_Qwen2.5-7B-Instruct,role_family,logistics_supply_ops,0.8138,0.9329,0.8693
SYS-B_Qwen2.5-7B-Instruct,role_family,product_project_ba,0.8456,0.8622,0.8538
SYS-B_Qwen2.5-7B-Instruct,role_family,sales_marketing_crm,0.8405,0.9198,0.8784
SYS-B_Qwen2.5-7B-Instruct,role_family,software_backend_fullstack,0.8882,0.8438,0.8654
SYS-B_Qwen2.5-7B-Instruct,seniority,intern_new_grad,0.8878,0.91,0.8988
SYS-B_Qwen2.5-7B-Instruct,seniority,junior,0.8246,0.8281,0.8264
SYS-B_Qwen2.5-7B-Instruct,seniority,lead,0.8676,0.8489,0.8582
SYS-B_Qwen2.5-7B-Instruct,seniority,manager,0.8788,0.9312,0.9042
SYS-B_Qwen2.5-7B-Instruct,seniority,mid,0.8698,0.8897,0.8796
SYS-B_Qwen2.5-7B-Instruct,seniority,senior,0.7844,0.8448,0.8134
SYS-B_Qwen2.5-7B-Instruct,template_type,academic_long,0.8531,0.9004,0.8761
SYS-B_Qwen2.5-7B-Instruct,template_type,chronological,0.8921,0.9295,0.9104
SYS-B_Qwen2.5-7B-Instruct,template_type,freelance_case_study,0.811,0.7917,0.8012
SYS-B_Qwen2.5-7B-Instruct,template_type,linkedin_plain,0.8511,0.875,0.8629
SYS-B_Qwen2.5-7B-Instruct,template_type,minimal_one_page,0.9038,0.8816,0.8926
SYS-B_Qwen2.5-7B-Instruct,template_type,modern_two_column,0.7656,0.8277,0.7954
SYS-B_Qwen2.5-7B-Instruct,template_type,project_portfolio_focused,0.9103,0.8668,0.888
SYS-B_Qwen2.5-7B-Instruct,template_type,table_heavy_dense,0.7251,0.7912,0.7567
SYS-B_Qwen2.5-7B-Instruct,title_group,intern_new_grad,0.8878,0.91,0.8988
SYS-B_Qwen2.5-7B-Instruct,title_group,junior,0.8246,0.8281,0.8264
SYS-B_Qwen2.5-7B-Instruct,title_group,lead,0.8676,0.8489,0.8582
SYS-B_Qwen2.5-7B-Instruct,title_group,manager,0.8788,0.9312,0.9042
SYS-B_Qwen2.5-7B-Instruct,title_group,mid,0.8698,0.8897,0.8796
SYS-B_Qwen2.5-7B-Instruct,title_group,senior,0.7844,0.8448,0.8134
